timestamp,dns,upload,download,packketloss,min,max,average
2020-10-16 02:48:54.309272,Cloudflare,4,4,0,15ms,17ms,15ms
2020-10-16 02:48:57.355955,Google,4,4,0,14ms,17ms,14ms
2020-10-16 02:51:30.219600,Cloudflare,4,4,0,14ms,18ms,15ms
2020-10-16 02:51:33.273284,Google,4,4,0,14ms,15ms,14ms
2020-10-16 02:53:29.591477,Cloudflare,4,4,0,14ms,15ms,14ms
2020-10-16 02:53:32.656165,Google,4,4,0,14ms,16ms,14ms
2020-10-16 03:21:26.689824,Cloudflare,4,4,0,15ms,16ms,15ms
2020-10-16 03:21:29.764842,Google,4,4,0,14ms,18ms,15ms
2020-10-16 03:31:32.845855,Cloudflare,4,4,0,14ms,16ms,15ms
2020-10-16 03:31:35.936547,Google,4,4,0,14ms,15ms,14ms
2020-10-16 04:43:03.110329,Cloudflare,4,4,0,15ms,16ms,15ms
2020-10-16 04:43:06.180015,Google,4,4,0,14ms,15ms,14ms
2020-10-16 05:43:09.247857,Cloudflare,4,4,0,14ms,18ms,15ms
2020-10-16 05:43:12.319544,Google,4,4,0,14ms,15ms,14ms
2020-10-16 06:43:15.409286,Cloudflare,4,4,0,14ms,16ms,14ms
2020-10-16 06:43:18.462009,Google,4,4,0,14ms,18ms,15ms
2020-10-16 07:43:21.518662,Cloudflare,4,4,0,18ms,19ms,18ms
2020-10-16 07:43:24.583347,Google,4,4,0,21ms,24ms,21ms
2020-10-16 08:43:27.636577,Cloudflare,4,4,0,17ms,18ms,17ms
2020-10-16 08:43:30.710264,Google,4,4,0,21ms,24ms,21ms
2020-10-16 09:43:33.784964,Cloudflare,4,4,0,17ms,20ms,18ms
2020-10-16 09:43:36.850646,Google,4,4,0,21ms,22ms,21ms
2020-10-16 10:43:39.913340,Cloudflare,4,4,0,17ms,19ms,17ms
2020-10-16 10:43:42.983027,Google,4,4,0,21ms,22ms,21ms
2020-10-16 11:43:46.031728,Cloudflare,4,4,0,17ms,19ms,18ms
2020-10-16 11:43:49.078409,Google,4,4,0,21ms,31ms,23ms
2020-10-16 12:43:52.145218,Cloudflare,4,4,0,17ms,27ms,20ms
2020-10-16 12:43:55.517972,Google,4,4,0,21ms,22ms,21ms
2020-10-16 13:43:58.580890,Cloudflare,4,4,0,18ms,30ms,21ms
2020-10-16 13:44:01.654157,Google,4,4,0,21ms,31ms,23ms
2020-10-16 14:44:03.441031,Cloudflare,4,4,0,18ms,32ms,24ms
2020-10-16 14:44:06.495714,Google,4,4,0,21ms,22ms,21ms
2020-10-16 15:44:09.571411,Cloudflare,4,4,0,17ms,20ms,17ms
2020-10-16 15:44:12.620093,Google,4,4,0,21ms,21ms,21ms
2020-10-16 16:44:15.678786,Cloudflare,4,4,0,17ms,19ms,17ms
2020-10-16 16:44:18.732469,Google,4,4,0,21ms,21ms,21ms
2020-10-16 17:44:21.790572,Cloudflare,4,4,0,17ms,21ms,18ms
2020-10-16 17:44:24.854886,Google,4,4,0,21ms,30ms,24ms
2020-10-16 18:44:27.920840,Cloudflare,4,4,0,17ms,21ms,18ms
2020-10-16 18:44:30.980137,Google,4,4,0,21ms,26ms,22ms
2020-10-16 19:44:34.047951,Cloudflare,4,4,0,17ms,22ms,19ms
2020-10-16 19:44:37.096633,Google,4,4,0,20ms,28ms,22ms
2020-10-16 20:44:40.155326,Cloudflare,4,4,0,18ms,40ms,25ms
2020-10-16 20:44:43.241016,Google,4,4,0,37ms,58ms,44ms
2020-10-16 21:44:46.330235,Cloudflare,4,4,0,17ms,61ms,32ms
2020-10-16 21:44:49.416925,Google,4,4,0,21ms,62ms,37ms
2020-10-16 22:44:52.515272,Cloudflare,4,4,0,18ms,22ms,19ms
2020-10-16 22:44:55.575955,Google,4,4,0,21ms,26ms,22ms
2020-10-16 23:44:58.637544,Cloudflare,4,4,0,17ms,22ms,19ms
2020-10-16 23:45:01.702527,Google,4,4,0,21ms,29ms,24ms
2020-10-17 00:45:04.786398,Cloudflare,4,4,0,17ms,18ms,17ms
2020-10-17 00:45:07.841587,Google,4,4,0,21ms,21ms,21ms
2020-10-17 01:45:10.903700,Cloudflare,4,4,0,17ms,18ms,17ms
2020-10-17 01:45:13.949381,Google,4,4,0,21ms,21ms,21ms
2020-10-17 02:45:17.020061,Cloudflare,4,4,0,17ms,18ms,17ms
